Tendencias;Intercept;Slope
T. med1.;13.354768454981894;0.000696920837901233
T. Max.;18.589609420024257;0.0007717633230323718
T. Min.;8.110413462331843;0.0006189450359251848
T. Amp;0.0;0.0
T. Amp.;10.47919595769241;0.00015281828710718808
